Date,wind_1,wind_2,wind_3,wind_4,wind_5,,,,,,,
04-Apr,0.036205534,3.77E-05,0.036205534,3.77E-05,0.015266667,,,,,,,
04-Apr,0.032598814,0.000251256,0.032598814,0.000251256,0.01315,,,,,,,
04-Apr,0.042213439,8.79E-05,0.042213439,8.79E-05,0.0177,,,,,,,
04-Apr,0.039189723,0,0.039189723,0,0.013783333,,,,,,,
04-Apr,0.040909091,0,0.040909091,0,0.019216667,,,,,,,
04-Apr,0.028754941,0.002342965,0.028754941,0.002342965,0.020083333,,,,,,,
04-Apr,0.025118577,0.004729899,0.025118577,0.004729899,0.0281,,,,,,,
04-Apr,0.01833004,0.004302764,0.01833004,0.004302764,0.02155,,,,,,,
04-Apr,0.025197628,0.004497487,0.025197628,0.004497487,0.023166667,,,,,,,
04-Apr,0.020780632,0.003247487,0.020780632,0.003247487,0.012516667,,,,,,,
04-Apr,0.021926877,0.002638191,0.021926877,0.002638191,0.010316667,,,,,,,
04-Apr,0.0168083,0.015012563,0.0168083,0.015012563,0.010183333,,,,,,,
04-Apr,0.019229249,0.025477387,0.019229249,0.025477387,0.0139,,,,,,,
04-Apr,0.016482213,0.033913317,0.016482213,0.033913317,0.0125,,,,,,,
04-Apr,0.019416996,0.038479899,0.019416996,0.038479899,0.0213,,,,,,,
04-Apr,0.066254941,0.03258794,0.066254941,0.03258794,0.019816667,,,,,,,
04-Apr,0.110434783,0.037644472,0.110434783,0.037644472,0.0465,,,,,,,
04-Apr,0.097075099,0.040822864,0.097075099,0.040822864,0.0579,,,,,,,
04-Apr,0.109021739,0.045383166,0.109021739,0.045383166,0.083683333,,,,,,,
04-Apr,0.094970356,0.038787688,0.094970356,0.038787688,0.0669,,,,,,,
04-Apr,0.100770751,0.044359296,0.100770751,0.044359296,0.105566667,,,,,,,
